conc,out_tps,ttft_p50,itl_p50,success
1,98.77339837432912,74.23718506470323,9.609825905471101,1/1
8,794.201976873969,37.619045469909906,9.817362267076676,8/8
32,2835.6134129980587,77.96150702051818,10.616389003318302,32/32
64,5193.496446728612,106.27494298387319,11.249602129719566,64/64
128,8209.373555000471,174.9559019226581,13.69603299700809,128/128
